INFO 2025-10-01 12:21:36,291 autoreload 20204 17648 Watching for file changes with StatReloader
INFO 2025-10-01 13:32:06,148 autoreload 21148 12324 Watching for file changes with StatReloader
INFO 2025-10-01 13:42:50,776 autoreload 26884 27244 Watching for file changes with StatReloader
INFO 2025-10-01 13:43:23,012 basehttp 26884 25688 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-10-01 13:43:23,729 basehttp 26884 25688 "POST /api/auth/login/ HTTP/1.1" 200 687
INFO 2025-10-01 13:43:23,877 basehttp 26884 25688 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-10-01 13:43:23,890 basehttp 26884 25688 "OPTIONS /api/units/ HTTP/1.1" 200 0
INFO 2025-10-01 13:43:23,892 basehttp 26884 20456 "OPTIONS /api/security/events/ HTTP/1.1" 200 0
INFO 2025-10-01 13:43:23,892 basehttp 26884 11176 "OPTIONS /api/security/events/ HTTP/1.1" 200 0
INFO 2025-10-01 13:43:23,906 basehttp 26884 22236 "OPTIONS /api/units/ HTTP/1.1" 200 0
INFO 2025-10-01 13:43:23,906 basehttp 26884 19736 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-10-01 13:43:24,003 basehttp 26884 25688 "GET /api/security/events/ HTTP/1.1" 200 2
INFO 2025-10-01 13:43:24,026 basehttp 26884 20456 "GET /api/units/ HTTP/1.1" 200 2
INFO 2025-10-01 13:43:24,108 basehttp 26884 12308 "GET /api/users/ HTTP/1.1" 200 399
INFO 2025-10-01 13:43:24,117 basehttp 26884 22236 "GET /api/security/events/ HTTP/1.1" 200 2
INFO 2025-10-01 13:43:24,127 basehttp 26884 25688 "GET /api/units/ HTTP/1.1" 200 2
INFO 2025-10-01 13:43:24,179 basehttp 26884 20456 "GET /api/users/ HTTP/1.1" 200 399
INFO 2025-10-01 13:43:47,613 basehttp 26884 10928 "OPTIONS /api/face/recognize/ HTTP/1.1" 200 0
WARNING 2025-10-01 13:43:48,985 log 26884 10928 Not Found: /api/face/recognize/
WARNING 2025-10-01 13:43:48,986 basehttp 26884 10928 "POST /api/face/recognize/ HTTP/1.1" 404 26
INFO 2025-10-01 13:43:54,548 basehttp 26884 10928 "GET /api/users/ HTTP/1.1" 200 399
